四则运算题目.0	456/410=
四则运算题目.7396	448*598=
四则运算题目.7397	720*195=
四则运算题目.7398	979-823+299=
四则运算题目.7399	951/86-723=
四则运算题目.7400	789/265*518=
四则运算题目.7401	899-297*531=
四则运算题目.7402	981/552=
四则运算题目.7403	284-380/578=
四则运算题目.7404	811/39=
四则运算题目.7405	991/435=
四则运算题目.7406	284/355/724=
四则运算题目.7407	322-465/227=
四则运算题目.7408	910/791+599=
四则运算题目.7409	106/576=
四则运算题目.7410	187-918=
四则运算题目.7411	328*964=
四则运算题目.7412	314+684=
四则运算题目.7413	884*298/138=
四则运算题目.7414	622-16=
四则运算题目.7415	744/540/832=
四则运算题目.7416	864-272+39=
四则运算题目.7417	600*104=
四则运算题目.7418	118/15/583=
四则运算题目.7419	386+465+326=
四则运算题目.7420	765+347*189=
四则运算题目.7421	258-641=
四则运算题目.7422	506-400+427=
四则运算题目.7423	953-417+172=
四则运算题目.7424	301*411+840=
四则运算题目.7425	291-538-447=
四则运算题目.7426	994-695=
四则运算题目.7427	144*355/653=
四则运算题目.7428	498/396=
四则运算题目.7429	972-289-351=
四则运算题目.7430	867/210*793=
四则运算题目.7431	625/510=
四则运算题目.7432	247-219=
四则运算题目.7433	766-866=
四则运算题目.7434	412+861/297=
四则运算题目.7435	776*108-599=
四则运算题目.7436	566-442+573=
四则运算题目.7437	163-34*480=
四则运算题目.7438	278-74/81=
四则运算题目.7439	209/483*251=
四则运算题目.7440	530-636=
四则运算题目.7441	800-536=
四则运算题目.7442	807+909-213=
四则运算题目.7443	687/870=
四则运算题目.7444	9/485=
四则运算题目.7445	10+595*938=
四则运算题目.7446	162/121/114=
四则运算题目.7447	418*690=
四则运算题目.7448	649/772+231=
四则运算题目.7449	511+811+774=
四则运算题目.7450	383+852/808=
四则运算题目.7451	58-448/36=
四则运算题目.7452	335*58*137=
四则运算题目.7453	561+928*963=
四则运算题目.7454	106/1=
四则运算题目.7455	523+171=
四则运算题目.7456	2-136*441=
四则运算题目.7457	73-750*834=
四则运算题目.7458	346-588+990=
四则运算题目.7459	655-485*492=
四则运算题目.7460	289*303=
四则运算题目.7461	570/423=
四则运算题目.7462	67-221-708=
四则运算题目.7463	532*995=
四则运算题目.7464	758-632=
四则运算题目.7465	9-406/94=
四则运算题目.7466	454+457=
四则运算题目.7467	331*883=
四则运算题目.7468	301+724-679=
四则运算题目.7469	220*418*468=
四则运算题目.7470	394*765=
四则运算题目.7471	820*292=
四则运算题目.7472	620/130-5=
四则运算题目.7473	223-319+573=
四则运算题目.7474	870/682/153=
四则运算题目.7475	945/554-439=
四则运算题目.7476	905-919+270=
四则运算题目.7477	41/984=
四则运算题目.7478	685-358+401=
四则运算题目.7479	682/921/823=
四则运算题目.7480	539*147+449=
四则运算题目.7481	16*861+786=
四则运算题目.7482	23*937/639=
四则运算题目.7483	55-404+852=
四则运算题目.7484	521*457*554=
四则运算题目.7485	407+910/750=
四则运算题目.7486	1+771*400=
四则运算题目.7487	383+450-944=
四则运算题目.7488	799/50=
四则运算题目.7489	876*618=
四则运算题目.7490	650+481=
四则运算题目.7491	768-819=
四则运算题目.7492	577+161/215=
四则运算题目.7493	153/951=
四则运算题目.7494	132-9=
四则运算题目.7495	845/521-64=
四则运算题目.7496	354*401/516=
四则运算题目.7497	613-707-823=
四则运算题目.7498	901+400+183=
四则运算题目.7499	610+398*808=
四则运算题目.7500	74/523*677=
四则运算题目.7501	496-315-854=
四则运算题目.7502	19/71+218=
四则运算题目.7503	47-411=
四则运算题目.7504	320-935-215=
四则运算题目.7505	656+527/514=
四则运算题目.7506	598*703=
四则运算题目.7507	782-433+228=
四则运算题目.7508	435*628=
四则运算题目.7509	135/478=
四则运算题目.7510	996*90=
四则运算题目.7511	500*538*108=
四则运算题目.7512	16+451/210=
四则运算题目.7513	441-23/463=
四则运算题目.7514	144/696=
四则运算题目.7515	501-739-526=
四则运算题目.7516	219+575=
四则运算题目.7517	24+90*689=
四则运算题目.7518	840/641=
四则运算题目.7519	149*990=
四则运算题目.7520	574-474=
四则运算题目.7521	475/344=
四则运算题目.7522	79/720/113=
四则运算题目.7523	284*715+589=
四则运算题目.7524	224*801-329=
四则运算题目.7525	897/88/737=
四则运算题目.7526	332/668+663=
四则运算题目.7527	414-285=
四则运算题目.7528	807-738=
四则运算题目.7529	991*523/457=
四则运算题目.7530	291*842=
四则运算题目.7531	478-587/582=
四则运算题目.7532	543-788/302=
四则运算题目.7533	411+629+197=
四则运算题目.7534	473*994/704=
四则运算题目.7535	77-414=
四则运算题目.7536	938*603/553=
四则运算题目.7537	184+802-705=
四则运算题目.7538	949/894+948=
四则运算题目.7539	210*929-313=
四则运算题目.7540	769-583-562=
四则运算题目.7541	892*407+332=
四则运算题目.7542	508*515=
四则运算题目.7543	316/331=
四则运算题目.7544	811/299+849=
四则运算题目.7545	34*762-754=
四则运算题目.7546	464*399=
四则运算题目.7547	351/867+336=
四则运算题目.7548	994-12=
四则运算题目.7549	567/513/146=
四则运算题目.7550	84*749-306=
四则运算题目.7551	582/428/425=
四则运算题目.7552	365/79*656=
四则运算题目.7553	538+878=
四则运算题目.7554	394*511+358=
四则运算题目.7555	566/604+411=
四则运算题目.7556	215*841-25=
四则运算题目.7557	64-178-798=
四则运算题目.7558	310*153/435=
四则运算题目.7559	233/502/977=
四则运算题目.7560	319/387-486=
四则运算题目.7561	342-900*418=
四则运算题目.7562	811+947/638=
四则运算题目.7563	971-767+345=
四则运算题目.7564	572/76-957=
四则运算题目.7565	687+957-240=
四则运算题目.7566	94+917=
四则运算题目.7567	497-72=
四则运算题目.7568	11*385-296=
四则运算题目.7569	219*529-576=
四则运算题目.7570	245+703+96=
四则运算题目.7571	185*962+828=
四则运算题目.7572	744*817=
四则运算题目.7573	680-150/650=
四则运算题目.7574	54*713+820=
四则运算题目.7575	644-803*30=
四则运算题目.7576	917*712+521=
四则运算题目.7577	787*287=
四则运算题目.7578	331-48*818=
四则运算题目.7579	482+561*712=
四则运算题目.7580	853/601=
四则运算题目.7581	726+508=
四则运算题目.7582	238*490+544=
四则运算题目.7583	864+983/282=
四则运算题目.7584	350*317=
四则运算题目.7585	301+778=
四则运算题目.7586	970-948+200=
四则运算题目.7587	611+381+454=
四则运算题目.7588	814-706*970=
四则运算题目.7589	366+655*893=
四则运算题目.7590	786+508/392=
四则运算题目.7591	429*887*910=
四则运算题目.7592	757-170=
四则运算题目.7593	358+645=
四则运算题目.7594	419+218*427=
四则运算题目.7595	588*469=
四则运算题目.7596	139+835+440=
四则运算题目.7597	457+923=
四则运算题目.7598	764*241+951=
四则运算题目.7599	183*716*197=
四则运算题目.7600	604+276=
四则运算题目.7601	533-762=
四则运算题目.7602	52/532=
四则运算题目.7603	57/279=
四则运算题目.7604	487*40+655=
四则运算题目.7605	880*109=
四则运算题目.7606	259/73-128=
四则运算题目.7607	595-987*111=
四则运算题目.7608	873-845=
四则运算题目.7609	944/429=
四则运算题目.7610	687-810+933=
四则运算题目.7611	186+132*942=
四则运算题目.7612	448+433=
四则运算题目.7613	37-495=
四则运算题目.7614	238/216-199=
四则运算题目.7615	887*940+240=
四则运算题目.7616	852+347=
四则运算题目.7617	643*487+171=
四则运算题目.7618	430/717*357=
四则运算题目.7619	343-185*255=
四则运算题目.7620	308+417*583=
四则运算题目.7621	382+979=
四则运算题目.7622	281-865/330=
四则运算题目.7623	528/127*742=
四则运算题目.7624	917-184+880=
四则运算题目.7625	990*694*398=
四则运算题目.7626	733/734=
四则运算题目.7627	243*850=
四则运算题目.7628	247/320*843=
四则运算题目.7629	485+784*284=
四则运算题目.7630	348*195=
四则运算题目.7631	743/431/715=
四则运算题目.7632	435+392/862=
四则运算题目.7633	981-1000-724=
四则运算题目.7634	631*992=
四则运算题目.7635	424/735=
四则运算题目.7636	426-901+237=
四则运算题目.7637	315*595/118=
四则运算题目.7638	190+964*614=
四则运算题目.7639	127+370-785=
四则运算题目.7640	950*141=
四则运算题目.7641	22/890/565=
四则运算题目.7642	617-189*890=
四则运算题目.7643	233+320+387=
四则运算题目.7644	425*80=
四则运算题目.7645	824-702-283=
四则运算题目.7646	159-215=
四则运算题目.7647	291/395=
四则运算题目.7648	271-161+734=
四则运算题目.7649	503-722=
四则运算题目.7650	802+36/525=
四则运算题目.7651	230/863*801=
四则运算题目.7652	437*287/776=
四则运算题目.7653	700/574+652=
四则运算题目.7654	331*457/179=
四则运算题目.7655	777/161*806=
四则运算题目.7656	24/661-91=
四则运算题目.7657	497*829=
四则运算题目.7658	840*748*516=
四则运算题目.7659	580*19=
四则运算题目.7660	513-843=
四则运算题目.7661	309+597/863=
四则运算题目.7662	305/183=
四则运算题目.7663	110*624/663=
四则运算题目.7664	525/52=
四则运算题目.7665	457+503-485=
四则运算题目.7666	102-489+221=
四则运算题目.7667	208*389=
四则运算题目.7668	345*89=
四则运算题目.7669	978-280/131=
四则运算题目.7670	759-972=
四则运算题目.7671	857+150=
四则运算题目.7672	602/838+124=
四则运算题目.7673	746*920*901=
四则运算题目.7674	87*446/189=
四则运算题目.7675	572+40*944=
四则运算题目.7676	591/691-697=
四则运算题目.7677	578-830*522=
四则运算题目.7678	34/367-472=
四则运算题目.7679	295*236*150=
四则运算题目.7680	896+273/82=
四则运算题目.7681	808*303=
四则运算题目.7682	405*960-8=
四则运算题目.7683	400+250+220=
四则运算题目.7684	409+747+393=
四则运算题目.7685	41*659+920=
四则运算题目.7686	111-873/949=
四则运算题目.7687	421-680+98=
四则运算题目.7688	41*205=
四则运算题目.7689	583+76=
四则运算题目.7690	801-854/703=
四则运算题目.7691	757-843*112=
四则运算题目.7692	444/980-993=
四则运算题目.7693	70*152=
四则运算题目.7694	105/81-994=
四则运算题目.7695	133/174+608=
四则运算题目.7696	733*189=
四则运算题目.7697	263/412=
四则运算题目.7698	712*151*470=
四则运算题目.7699	802/574=
四则运算题目.7700	165-813*466=
四则运算题目.7701	584-170*124=
四则运算题目.7702	851*222=
四则运算题目.7703	262*166+776=
四则运算题目.7704	674-693-818=
四则运算题目.7705	483/785=
四则运算题目.7706	452*108-941=
四则运算题目.7707	550-337=
四则运算题目.7708	50*296=
四则运算题目.7709	527+950/671=
四则运算题目.7710	544*807*556=
四则运算题目.7711	279/436+453=
四则运算题目.7712	531-351*254=
四则运算题目.7713	767/569+658=
四则运算题目.7714	442+980=
四则运算题目.7715	400*972-217=
四则运算题目.7716	781+340+794=
四则运算题目.7717	448/593=
四则运算题目.7718	585-528+752=
四则运算题目.7719	455+22/549=
四则运算题目.7720	232/388*875=
四则运算题目.7721	954*925+36=
四则运算题目.7722	613*345-671=
四则运算题目.7723	754+90/598=
四则运算题目.7724	932-1=
四则运算题目.7725	967/453*286=
四则运算题目.7726	218-949-463=
四则运算题目.7727	886/66=
四则运算题目.7728	621+336-284=
四则运算题目.7729	771+714+195=
四则运算题目.7730	251-949+88=
四则运算题目.7731	609+363/705=
四则运算题目.7732	757+636=
四则运算题目.7733	279/149*199=
四则运算题目.7734	5+547+302=
四则运算题目.7735	669+62+682=
四则运算题目.7736	41/881/306=
四则运算题目.7737	829-728/732=
四则运算题目.7738	456+225=
四则运算题目.7739	75-964+744=
四则运算题目.7740	309-103*773=
四则运算题目.7741	127*138+487=
四则运算题目.7742	493*888*18=
四则运算题目.7743	529+552+378=
四则运算题目.7744	672-55=
四则运算题目.7745	147+158-861=
四则运算题目.7746	83-907*657=
四则运算题目.7747	509*191=
四则运算题目.7748	164*237=
四则运算题目.7749	797/668*370=
四则运算题目.7750	382*694=
四则运算题目.7751	421/801/9=
四则运算题目.7752	999+786=
四则运算题目.7753	159-156*455=
四则运算题目.7754	993*860-306=
四则运算题目.7755	348*453=
四则运算题目.7756	486*718=
四则运算题目.7757	972-88*175=
四则运算题目.7758	902-927=
四则运算题目.7759	923*1000=
四则运算题目.7760	217+207=
四则运算题目.7761	517*193+175=
四则运算题目.7762	419+487+901=
四则运算题目.7763	214*364-38=
四则运算题目.7764	581/701-693=
四则运算题目.7765	745+253*423=
四则运算题目.7766	116*764+919=
四则运算题目.7767	300*224+985=
四则运算题目.7768	718-950=
四则运算题目.7769	599-942+583=
四则运算题目.7770	531-486-353=
四则运算题目.7771	119-638/991=
四则运算题目.7772	861/872-547=
四则运算题目.7773	907/818=
四则运算题目.7774	593/10/935=
四则运算题目.7775	135*292=
四则运算题目.7776	807/80=
四则运算题目.7777	572*79=
四则运算题目.7778	551/151*808=
四则运算题目.7779	185-106*730=
四则运算题目.7780	806+6/290=
四则运算题目.7781	717-94=
四则运算题目.7782	180/211+751=
四则运算题目.7783	364+233+162=
四则运算题目.7784	306/155*653=
四则运算题目.7785	820+298/804=
四则运算题目.7786	60+441=
四则运算题目.7787	113+938*298=
四则运算题目.7788	927/986/176=
四则运算题目.7789	654*410+715=
四则运算题目.7790	58/607=
四则运算题目.7791	683/284/202=
四则运算题目.7792	783*827=
四则运算题目.7793	273*803-108=
四则运算题目.7794	236/376=
四则运算题目.7795	368-252+867=
四则运算题目.7796	363*80+653=
四则运算题目.7797	814+599=
四则运算题目.7798	151+738-851=
四则运算题目.7799	363*565=
四则运算题目.7800	996*636+418=
四则运算题目.7801	560-249/870=
四则运算题目.7802	656/781*124=
四则运算题目.7803	807-862+34=
四则运算题目.7804	739-354=
四则运算题目.7805	494*304-578=
四则运算题目.7806	47-102*530=
四则运算题目.7807	412+598=
四则运算题目.7808	292+616=
四则运算题目.7809	903-694=
四则运算题目.7810	952*171+157=
四则运算题目.7811	506-650=
四则运算题目.7812	434-976-834=
四则运算题目.7813	234+405=
四则运算题目.7814	839/42=
四则运算题目.7815	464+840*218=
四则运算题目.7816	481+905=
四则运算题目.7817	835*127=
四则运算题目.7818	470-474/246=
四则运算题目.7819	170-979=
四则运算题目.7820	93/515-934=
四则运算题目.7821	826*455+740=
四则运算题目.7822	751/711=
四则运算题目.7823	203+399+402=
四则运算题目.7824	557/549-539=
四则运算题目.7825	993/409=
四则运算题目.7826	691/961/918=
四则运算题目.7827	322+337+809=
四则运算题目.7828	847+864-505=
四则运算题目.7829	775/171=
四则运算题目.7830	265+918+641=
四则运算题目.7831	605*73+798=
四则运算题目.7832	458/840-525=
四则运算题目.7833	34+516=
四则运算题目.7834	887-138-607=
四则运算题目.7835	780/253=
四则运算题目.7836	547/86=
四则运算题目.7837	929*903*952=
四则运算题目.7838	114+57=
四则运算题目.7839	648/567-874=
四则运算题目.7840	933-386*538=
四则运算题目.7841	227/946-282=
四则运算题目.7842	567*860+11=
四则运算题目.7843	967-425+793=
四则运算题目.7844	990-205=
四则运算题目.7845	236*540/999=
四则运算题目.7846	399-788=
四则运算题目.7847	594-965=
四则运算题目.7848	210+881*50=
四则运算题目.7849	671*381*615=
四则运算题目.7850	635-837-362=
四则运算题目.7851	547/24=
四则运算题目.7852	859/631*233=
四则运算题目.7853	346-213/641=
四则运算题目.7854	282-253=
四则运算题目.7855	395-11=
四则运算题目.7856	997/302=
四则运算题目.7857	456+934/902=
四则运算题目.7858	327+719=
四则运算题目.7859	465+317/126=
四则运算题目.7860	925-497*559=
四则运算题目.7861	302+165=
四则运算题目.7862	747*430=
四则运算题目.7863	210-840+863=
四则运算题目.7864	80-272/650=
四则运算题目.7865	369+327/595=
四则运算题目.7866	796/164/665=
四则运算题目.7867	173/436/267=
四则运算题目.7868	122+409/816=
四则运算题目.7869	596+17/19=
四则运算题目.7870	496-334-248=
四则运算题目.7871	916+800=
四则运算题目.7872	548-450/783=
四则运算题目.7873	203/708=
四则运算题目.7874	109+810=
四则运算题目.7875	438+558+791=
四则运算题目.7876	881/184+851=
四则运算题目.7877	868/788/917=
四则运算题目.7878	976-934+841=
四则运算题目.7879	438*91=
四则运算题目.7880	202/891*981=
四则运算题目.7881	376*681=
四则运算题目.7882	373*351*435=
四则运算题目.7883	992/562+7=
四则运算题目.7884	946*622+306=
四则运算题目.7885	8/212*609=
四则运算题目.7886	149*634=
四则运算题目.7887	141-437=
四则运算题目.7888	169*443+313=
四则运算题目.7889	703*163=
四则运算题目.7890	530/188+550=
四则运算题目.7891	911-399=
四则运算题目.7892	93*881+262=
四则运算题目.7893	930+541-554=
四则运算题目.7894	666*78=
四则运算题目.7895	329*739*390=
四则运算题目.7896	576/724=
四则运算题目.7897	85*405=
四则运算题目.7898	263+609=
四则运算题目.7899	731/729*136=
四则运算题目.7900	120-928-35=
四则运算题目.7901	5-654=
四则运算题目.7902	424*39=
四则运算题目.7903	320-608+828=
四则运算题目.7904	363+10-860=
四则运算题目.7905	820/213+34=
四则运算题目.7906	572+805+849=
四则运算题目.7907	71-586-254=
四则运算题目.7908	185+591*224=
四则运算题目.7909	547-74*432=
四则运算题目.7910	733*964-843=
四则运算题目.7911	803+603=
四则运算题目.7912	787/757-365=
四则运算题目.7913	141*604=
四则运算题目.7914	553-432-880=
四则运算题目.7915	385-862-36=
四则运算题目.7916	30*36+291=
四则运算题目.7917	911*107+600=
四则运算题目.7918	972/159=
四则运算题目.7919	338*340+679=
四则运算题目.7920	932-26+78=
四则运算题目.7921	37/405-975=
四则运算题目.7922	799-676=
四则运算题目.7923	816/476/621=
四则运算题目.7924	991/260+739=
四则运算题目.7925	296/638=
四则运算题目.7926	387-52+267=
四则运算题目.7927	878+229=
四则运算题目.7928	950-904/762=
四则运算题目.7929	953-611/291=
四则运算题目.7930	713/858*959=
四则运算题目.7931	217-764=
四则运算题目.7932	5*973=
四则运算题目.7933	185-614=
四则运算题目.7934	216/784+643=
四则运算题目.7935	424+550*173=
四则运算题目.7936	108-476=
四则运算题目.7937	209-754-613=
四则运算题目.7938	596+444=
四则运算题目.7939	209/541-49=
四则运算题目.7940	901/861/265=
四则运算题目.7941	232/318=
四则运算题目.7942	206/773=
四则运算题目.7943	478*630=
四则运算题目.7944	239-873=
四则运算题目.7945	645-944+35=
四则运算题目.7946	698*876+983=
四则运算题目.7947	375+332-255=
四则运算题目.7948	201*109-266=
四则运算题目.7949	252-596-3=
四则运算题目.7950	543+816+637=
四则运算题目.7951	68+238=
四则运算题目.7952	968/454=
四则运算题目.7953	493+839*418=
四则运算题目.7954	431/286-956=
四则运算题目.7955	594/899=
四则运算题目.7956	771*159=
四则运算题目.7957	282/718*799=
四则运算题目.7958	993*153-96=
四则运算题目.7959	668-220+377=
四则运算题目.7960	785*234+383=
四则运算题目.7961	203-245-930=
四则运算题目.7962	976-986/260=
四则运算题目.7963	727+439=
四则运算题目.7964	947/896=
四则运算题目.7965	414+706=
四则运算题目.7966	197/351+948=
四则运算题目.7967	870*709=
四则运算题目.7968	687*639=
四则运算题目.7969	103-157+419=
四则运算题目.7970	769-167/868=
四则运算题目.7971	144/51*768=
四则运算题目.7972	547*461=
四则运算题目.7973	419-936/159=
四则运算题目.7974	244+436/168=
四则运算题目.7975	763/691=
四则运算题目.7976	818+936*916=
四则运算题目.7977	714*240+563=
四则运算题目.7978	171/491/645=
四则运算题目.7979	572/715-334=
四则运算题目.7980	949-412=
四则运算题目.7981	315+195/860=
四则运算题目.7982	342*246*198=
四则运算题目.7983	940*44/748=
四则运算题目.7984	202-263/858=
四则运算题目.7985	890/149=
四则运算题目.7986	659+120=
四则运算题目.7987	327-834+245=
四则运算题目.7988	548*721=
四则运算题目.7989	183-305+307=
四则运算题目.7990	940+667+570=
四则运算题目.7991	232/73-505=
四则运算题目.7992	438/609-632=
四则运算题目.7993	155/662+990=
四则运算题目.7994	756-502=
四则运算题目.7995	206+145=
四则运算题目.7996	884*684=
四则运算题目.7997	637-898/840=
四则运算题目.7998	233+719/420=
四则运算题目.7999	16/151=
四则运算题目.8000	170+332-316=
四则运算题目.8001	458-188=
四则运算题目.8002	77*438+381=
四则运算题目.8003	528+758-763=
四则运算题目.8004	976-40+591=
四则运算题目.8005	683-119-465=
四则运算题目.8006	573-901-635=
四则运算题目.8007	526/990=
四则运算题目.8008	271*820+487=
四则运算题目.8009	960-940=
四则运算题目.8010	455-975*332=
四则运算题目.8011	168-406+527=
四则运算题目.8012	437+314/933=
四则运算题目.8013	239+582*361=
四则运算题目.8014	77-283*531=
四则运算题目.8015	811-204=
四则运算题目.8016	198*512*617=
四则运算题目.8017	343*905-26=
四则运算题目.8018	29/324+219=
四则运算题目.8019	171+664-15=
四则运算题目.8020	645/638=
四则运算题目.8021	488/336+187=
四则运算题目.8022	848-462/484=
四则运算题目.8023	562*252*415=
四则运算题目.8024	397+733=
四则运算题目.8025	657-629/523=
四则运算题目.8026	633/645+72=
四则运算题目.8027	133-224-787=
四则运算题目.8028	584+739/416=
四则运算题目.8029	38-71+681=
四则运算题目.8030	753-534=
四则运算题目.8031	862*44/89=
四则运算题目.8032	620+520/571=
四则运算题目.8033	67/573=
四则运算题目.8034	40/528+415=
四则运算题目.8035	161*289=
四则运算题目.8036	790*334+169=
四则运算题目.8037	559+889=
四则运算题目.8038	3*924=
四则运算题目.8039	780+786+467=
四则运算题目.8040	868*351=
四则运算题目.8041	766-223-254=
四则运算题目.8042	469/621/605=
四则运算题目.8043	634*257+676=
四则运算题目.8044	757-575-14=
四则运算题目.8045	853*800-622=
四则运算题目.8046	170*535=
四则运算题目.8047	311-197*60=
四则运算题目.8048	8/161+823=
四则运算题目.8049	405+230/942=
四则运算题目.8050	449-378*75=
四则运算题目.8051	682-503+409=
四则运算题目.8052	332/101*98=
四则运算题目.8053	968+33+93=
四则运算题目.8054	641-102+713=
四则运算题目.8055	128-411/485=
四则运算题目.8056	133+223/232=
四则运算题目.8057	82*253=
四则运算题目.8058	608/977-728=
四则运算题目.8059	381+545/70=
四则运算题目.8060	780*409+552=
四则运算题目.8061	840+527+374=
四则运算题目.8062	189+351+464=
四则运算题目.8063	328*151*425=
四则运算题目.8064	437/540/85=
四则运算题目.8065	161+503=
四则运算题目.8066	892*410=
四则运算题目.8067	227-513+449=
四则运算题目.8068	987-926-267=
四则运算题目.8069	111-299+307=
四则运算题目.8070	239*329=
四则运算题目.8071	165+394-903=
四则运算题目.8072	292+256*357=
四则运算题目.8073	468-233+413=
四则运算题目.8074	209+754=
四则运算题目.8075	703+781*926=
四则运算题目.8076	628/169=
四则运算题目.8077	92*657*665=
四则运算题目.8078	854-519=
四则运算题目.8079	276*650/180=
四则运算题目.8080	14*104/645=
四则运算题目.8081	238+472+223=
四则运算题目.8082	607-254/240=
四则运算题目.8083	115-101/833=
四则运算题目.8084	933+893-85=
四则运算题目.8085	784*442=
四则运算题目.8086	210-686=
四则运算题目.8087	424+417=
四则运算题目.8088	366/761/173=
四则运算题目.8089	762-472/377=
四则运算题目.8090	87-869+289=
四则运算题目.8091	858/281-22=
四则运算题目.8092	572/619/298=
四则运算题目.8093	495/502+206=
四则运算题目.8094	887-127=
四则运算题目.8095	896/977*516=
四则运算题目.8096	747+789=
四则运算题目.8097	508+325+310=
四则运算题目.8098	944*519/349=
四则运算题目.8099	156*235/425=
四则运算题目.8100	133-678/601=
四则运算题目.8101	975+301=
四则运算题目.8102	1000+971/674=
四则运算题目.8103	25*663-893=
四则运算题目.8104	638-180+625=
四则运算题目.8105	326+302=
四则运算题目.8106	636+867+27=
四则运算题目.8107	240*533*466=
四则运算题目.8108	62/816+324=
四则运算题目.8109	185*464-930=
四则运算题目.8110	701*411/20=
四则运算题目.8111	848+166=
四则运算题目.8112	167/653/860=
四则运算题目.8113	695-229=
四则运算题目.8114	599/856/402=
四则运算题目.8115	825/860/440=
四则运算题目.8116	296*768+948=
四则运算题目.8117	779-967-655=
四则运算题目.8118	311+830=
四则运算题目.8119	504*668+693=
四则运算题目.8120	166*599=
四则运算题目.8121	615*565+299=
四则运算题目.8122	236/124+640=
四则运算题目.8123	69+13+167=
四则运算题目.8124	762/826=
四则运算题目.8125	739+839=
四则运算题目.8126	726/174*736=
四则运算题目.8127	528*720+766=
四则运算题目.8128	140*114-612=
四则运算题目.8129	914+978-517=
四则运算题目.8130	777-483=
四则运算题目.8131	269*369/637=
四则运算题目.8132	791+599=
四则运算题目.8133	577+201=
四则运算题目.8134	607/699=
四则运算题目.8135	294-587+693=
四则运算题目.8136	202/291/46=
四则运算题目.8137	988+112=
四则运算题目.8138	390*938-517=
四则运算题目.8139	200*800-660=
四则运算题目.8140	556-399=
四则运算题目.8141	934/277/351=
四则运算题目.8142	605+895=
四则运算题目.8143	843/243+754=
四则运算题目.8144	587-593+157=
四则运算题目.8145	364+19/774=
四则运算题目.8146	278/457*618=
四则运算题目.8147	417+390=
四则运算题目.8148	678*669=
四则运算题目.8149	469+772-679=
四则运算题目.8150	99*326*46=
四则运算题目.8151	65-556*519=
四则运算题目.8152	685*17=
四则运算题目.8153	817+753-553=
四则运算题目.8154	895-566-855=
四则运算题目.8155	855*232=
四则运算题目.8156	202+309*83=
四则运算题目.8157	413+634/528=
四则运算题目.8158	935-536=
四则运算题目.8159	847*712-748=
四则运算题目.8160	489+709+136=
四则运算题目.8161	40-908+425=
四则运算题目.8162	108/550-813=
四则运算题目.8163	729-92/942=
四则运算题目.8164	228-346*864=
四则运算题目.8165	10/558+188=
四则运算题目.8166	103+179=
四则运算题目.8167	918/191=
四则运算题目.8168	983-166-973=
四则运算题目.8169	7+47=
四则运算题目.8170	471-376/924=
四则运算题目.8171	518-530-294=
四则运算题目.8172	202-959/674=
四则运算题目.8173	47+397+441=
四则运算题目.8174	185*459=
四则运算题目.8175	855*773*813=
四则运算题目.8176	646/532-122=
四则运算题目.8177	689-426/445=
四则运算题目.8178	554/339=
四则运算题目.8179	897*203*375=
四则运算题目.8180	406+948=
四则运算题目.8181	783/553=
四则运算题目.8182	540*146=
四则运算题目.8183	601/221*875=
四则运算题目.8184	837-328*777=
四则运算题目.8185	463+638/447=
四则运算题目.8186	701*875-271=
四则运算题目.8187	342-324/408=
四则运算题目.8188	580*449+759=
四则运算题目.8189	520*302*823=
四则运算题目.8190	9*384=
四则运算题目.8191	303-897/42=
四则运算题目.8192	542/353=
四则运算题目.8193	745-522=
四则运算题目.8194	198+185+910=
四则运算题目.8195	854*937+66=
四则运算题目.8196	637-509*12=
四则运算题目.8197	221-786=
四则运算题目.8198	428-494*727=
四则运算题目.8199	139+806-969=
四则运算题目.8200	650/760=
四则运算题目.8201	235*138=
四则运算题目.8202	18/373+127=
四则运算题目.8203	488-185-367=
四则运算题目.8204	708+508=
四则运算题目.8205	740+582=
四则运算题目.8206	25/791/418=
四则运算题目.8207	766/423-488=
四则运算题目.8208	445+613+539=
四则运算题目.8209	403+570*616=
四则运算题目.8210	522+173=
四则运算题目.8211	285*716=
四则运算题目.8212	416+538*591=
四则运算题目.8213	751+108=
四则运算题目.8214	984-916/375=
四则运算题目.8215	617+354/445=
四则运算题目.8216	307-158-980=
四则运算题目.8217	528*905/617=
四则运算题目.8218	725*323=
四则运算题目.8219	383/566*71=
四则运算题目.8220	793*197+347=
四则运算题目.8221	367-179=
四则运算题目.8222	227-116/967=
四则运算题目.8223	196+419*319=
四则运算题目.8224	116-856/398=
四则运算题目.8225	523*466=
四则运算题目.8226	97/433/848=
四则运算题目.8227	214/272=
四则运算题目.8228	964-979=
四则运算题目.8229	70/849+506=
四则运算题目.8230	613+551/390=
四则运算题目.8231	25-781*828=
四则运算题目.8232	191-416+161=
四则运算题目.8233	176+256-426=
四则运算题目.8234	529/435+412=
四则运算题目.8235	887-367=
四则运算题目.8236	40/827=
四则运算题目.8237	253-230/692=
四则运算题目.8238	189-633*844=
四则运算题目.8239	629-888+823=
四则运算题目.8240	652/2-98=
四则运算题目.8241	939-81*945=
四则运算题目.8242	353-511-397=
四则运算题目.8243	785-761-238=
四则运算题目.8244	858+604=
四则运算题目.8245	692/210+296=
四则运算题目.8246	551*527+622=
四则运算题目.8247	625/723=
四则运算题目.8248	449/883/21=
四则运算题目.8249	798-418-46=
四则运算题目.8250	659*582/713=
四则运算题目.8251	492-709*419=
