第0题的答案：	442'11/67
第7562题的答案：	648084
第7563题的答案：	262'353/906
第7564题的答案：	179'319/400
第7565题的答案：	53371
第7566题的答案：	1246
第7567题的答案：	101623
第7568题的答案：	464'464/511
第7569题的答案：	-330777
第7570题的答案：	949'19/29
第7571题的答案：	670'98/177
第7572题的答案：	990'77/123
第7573题的答案：	784
第7574题的答案：	-72
第7575题的答案：	688'166/241
第7576题的答案：	14859264
第7577题的答案：	33'97/136
第7578题的答案：	-253
第7579题的答案：	199'147/421
第7580题的答案：	1'131/143
第7581题的答案：	569885
第7582题的答案：	333538
第7583题的答案：	529
第7584题的答案：	68'12/31
第7585题的答案：	177641
第7586题的答案：	830
第7587题的答案：	623'150/157
第7588题的答案：	127
第7589题的答案：	1942
第7590题的答案：	1004
第7591题的答案：	583'270/277
第7592题的答案：	254'395/957
第7593题的答案：	634407904
第7594题的答案：	101331
第7595题的答案：	871'14/27
第7596题的答案：	98/339
第7597题的答案：	-22849/150
第7598题的答案：	152'427/942
第7599题的答案：	-108
第7600题的答案：	269890
第7601题的答案：	330
第7602题的答案：	280
第7603题的答案：	441311
第7604题的答案：	376
第7605题的答案：	768
第7606题的答案：	-1
第7607题的答案：	1255
第7608题的答案：	1776
第7609题的答案：	331'141/212
第7610题的答案：	178
第7611题的答案：	865
第7612题的答案：	23144
第7613题的答案：	284172
第7614题的答案：	-260654
第7615题的答案：	-100
第7616题的答案：	1952
第7617题的答案：	935
第7618题的答案：	473/684
第7619题的答案：	-402
第7620题的答案：	472/905
第7621题的答案：	1803
第7622题的答案：	-49391
第7623题的答案：	837
第7624题的答案：	14144
第7625题的答案：	1652
第7626题的答案：	-444627
第7627题的答案：	21/7099
第7628题的答案：	69564
第7629题的答案：	854
第7630题的答案：	623823
第7631题的答案：	312
第7632题的答案：	589'287/306
第7633题的答案：	-381986
第7634题的答案：	-20
第7635题的答案：	13'19/72
第7636题的答案：	6498
第7637题的答案：	65307
第7638题的答案：	892'5/29
第7639题的答案：	955
第7640题的答案：	-352216
第7641题的答案：	156948
第7642题的答案：	223/735
第7643题的答案：	-21002
第7644题的答案：	7'73/105
第7645题的答案：	581
第7646题的答案：	762237
第7647题的答案：	1412
第7648题的答案：	73/92
第7649题的答案：	-203
第7650题的答案：	544
第7651题的答案：	315582
第7652题的答案：	888
第7653题的答案：	942'217/698
第7654题的答案：	682'199/376
第7655题的答案：	2457'7/39
第7656题的答案：	1977
第7657题的答案：	211/15414
第7658题的答案：	-22645
第7659题的答案：	1256
第7660题的答案：	959
第7661题的答案：	126289896
第7662题的答案：	51'845/904
第7663题的答案：	-1577
第7664题的答案：	537'229/267
第7665题的答案：	-278790
第7666题的答案：	54982000
第7667题的答案：	206
第7668题的答案：	822
第7669题的答案：	3309'59/68
第7670题的答案：	1431
第7671题的答案：	2'32/79
第7672题的答案：	-141975/977
第7673题的答案：	90901
第7674题的答案：	11521
第7675题的答案：	409
第7676题的答案：	-752
第7677题的答案：	331412
第7678题的答案：	96'57/116
第7679题的答案：	439091
第7680题的答案：	-8668/119
第7681题的答案：	445030
第7682题的答案：	1214
第7683题的答案：	83348
第7684题的答案：	528'8/89
第7685题的答案：	1325
第7686题的答案：	-269
第7687题的答案：	528'132/431
第7688题的答案：	640335
第7689题的答案：	46312
第7690题的答案：	1252
第7691题的答案：	1144
第7692题的答案：	159'757/838
第7693题的答案：	176'608/833
第7694题的答案：	184
第7695题的答案：	1006
第7696题的答案：	150452
第7697题的答案：	-425
第7698题的答案：	1224
第7699题的答案：	-918
第7700题的答案：	375
第7701题的答案：	71'49/192
第7702题的答案：	-594
第7703题的答案：	266716
第7704题的答案：	691/32508
第7705题的答案：	860'8/55
第7706题的答案：	192/683
第7707题的答案：	702
第7708题的答案：	352988
第7709题的答案：	139493
第7710题的答案：	322
第7711题的答案：	-81
第7712题的答案：	169364200
第7713题的答案：	844
第7714题的答案：	532
第7715题的答案：	203/496
第7716题的答案：	259
第7717题的答案：	1'121/757
第7718题的答案：	932
第7719题的答案：	238195
第7720题的答案：	899
第7721题的答案：	705940
第7722题的答案：	390'407/567
第7723题的答案：	29592
第7724题的答案：	-25133
第7725题的答案：	2'24/85
第7726题的答案：	41010086
第7727题的答案：	519'781/883
第7728题的答案：	36204
第7729题的答案：	-44
第7730题的答案：	-9463/293
第7731题的答案：	880'41/137
第7732题的答案：	994
第7733题的答案：	87829
第7734题的答案：	1'5/161
第7735题的答案：	6573840
第7736题的答案：	55'1/8
第7737题的答案：	590'414/449
第7738题的答案：	-537
第7739题的答案：	24/821
第7740题的答案：	370
第7741题的答案：	25062
第7742题的答案：	1793
第7743题的答案：	161466
第7744题的答案：	136'38/55
第7745题的答案：	-62023/121
第7746题的答案：	-85
第7747题的答案：	646
第7748题的答案：	-214697
第7749题的答案：	248194968
第7750题的答案：	249
第7751题的答案：	88678
第7752题的答案：	357041
第7753题的答案：	687'83/352
第7754题的答案：	-28439/152
第7755题的答案：	-167889
第7756题的答案：	29/156330
第7757题的答案：	851482
第7758题的答案：	228791160
第7759题的答案：	138178176
第7760题的答案：	58235
第7761题的答案：	251/281
第7762题的答案：	534
第7763题的答案：	-682880
第7764题的答案：	54754
第7765题的答案：	752948
第7766题的答案：	-411296/485
第7767题的答案：	-94555
第7768题的答案：	80/532917
第7769题的答案：	-59165/101
第7770题的答案：	892
第7771题的答案：	-405054
第7772题的答案：	-1172
第7773题的答案：	9/16388
第7774题的答案：	313'758/925
第7775题的答案：	200
第7776题的答案：	692
第7777题的答案：	986'230/889
第7778题的答案：	84992
第7779题的答案：	558/959
第7780题的答案：	111'55/78
第7781题的答案：	47'618/847
第7782题的答案：	1402
第7783题的答案：	2614
第7784题的答案：	3'115/189
第7785题的答案：	-837
第7786题的答案：	10
第7787题的答案：	1'152/311
第7788题的答案：	-500
第7789题的答案：	383'29/91
第7790题的答案：	155/288
第7791题的答案：	61/29682
第7792题的答案：	8'20/51
第7793题的答案：	-418/119
第7794题的答案：	13'64/433
第7795题的答案：	1592
第7796题的答案：	18
第7797题的答案：	969
第7798题的答案：	922'14/15
第7799题的答案：	119510
第7800题的答案：	482
第7801题的答案：	1152
第7802题的答案：	949
第7803题的答案：	989/475673
第7804题的答案：	785
第7805题的答案：	936
第7806题的答案：	-167
第7807题的答案：	312'825/901
第7808题的答案：	402348
第7809题的答案：	-292497
第7810题的答案：	-690827
第7811题的答案：	34354
第7812题的答案：	1357
第7813题的答案：	-861
第7814题的答案：	349'341/721
第7815题的答案：	-1173
第7816题的答案：	233945
第7817题的答案：	187
第7818题的答案：	76446
第7819题的答案：	349
第7820题的答案：	1129
第7821题的答案：	298344
第7822题的答案：	515'265/322
第7823题的答案：	371890
第7824题的答案：	696'270/307
第7825题的答案：	230511
第7826题的答案：	-213
第7827题的答案：	-194
第7828题的答案：	24545694
第7829题的答案：	-361
第7830题的答案：	65452
第7831题的答案：	1869
第7832题的答案：	-425
第7833题的答案：	712
第7834题的答案：	-76337/155
第7835题的答案：	427'29/52
第7836题的答案：	56227
第7837题的答案：	1548
第7838题的答案：	855
第7839题的答案：	99755
第7840题的答案：	50172
第7841题的答案：	296'91/211
第7842题的答案：	1676
第7843题的答案：	-60
第7844题的答案：	175'23/257
第7845题的答案：	902'138/335
第7846题的答案：	148'64/91
第7847题的答案：	468'459/689
第7848题的答案：	-370470
第7849题的答案：	26/505
第7850题的答案：	-107029
第7851题的答案：	1372
第7852题的答案：	-1164
第7853题的答案：	32301
第7854题的答案：	153'128/133
第7855题的答案：	31787
第7856题的答案：	490230
第7857题的答案：	760'533/994
第7858题的答案：	-562382/715
第7859题的答案：	-1186
第7860题的答案：	108458
第7861题的答案：	1/330
第7862题的答案：	-345
第7863题的答案：	-199
第7864题的答案：	600
第7865题的答案：	1'63/172
第7866题的答案：	1811'41/239
第7867题的答案：	183
第7868题的答案：	2000
第7869题的答案：	1'256/497
第7870题的答案：	57/365
第7871题的答案：	174'109/300
第7872题的答案：	17/6822
第7873题的答案：	397
第7874题的答案：	-173719
第7875题的答案：	411'43/109
第7876题的答案：	742
第7877题的答案：	-202
第7878题的答案：	402914
第7879题的答案：	439890
第7880题的答案：	6'10/11
第7881题的答案：	-31912/41
第7882题的答案：	865
第7883题的答案：	643062
第7884题的答案：	1161
第7885题的答案：	-195
第7886题的答案：	214930
第7887题的答案：	1361
第7888题的答案：	16270
第7889题的答案：	155245
第7890题的答案：	57855
第7891题的答案：	1149
第7892题的答案：	10/119
第7893题的答案：	137/780
第7894题的答案：	281960
第7895题的答案：	1646'121/425
第7896题的答案：	429312
第7897题的答案：	703930
第7898题的答案：	1186
第7899题的答案：	158'70/183
第7900题的答案：	215/534
第7901题的答案：	795
第7902题的答案：	-77136
第7903题的答案：	9'19/41
第7904题的答案：	117
第7905题的答案：	315222
第7906题的答案：	298747
第7907题的答案：	84'381/419
第7908题的答案：	186098900
第7909题的答案：	838
第7910题的答案：	-133196/195
第7911题的答案：	511'101/132
第7912题的答案：	260'135/956
第7913题的答案：	1378
第7914题的答案：	1598'20/23
第7915题的答案：	118871
第7916题的答案：	140409
第7917题的答案：	185'16/61
第7918题的答案：	665
第7919题的答案：	1'306/677
第7920题的答案：	238221
第7921题的答案：	1'57/241
第7922题的答案：	-86512/87
第7923题的答案：	907/488950
第7924题的答案：	60
第7925题的答案：	932'41/156
第7926题的答案：	66619
第7927题的答案：	7251
第7928题的答案：	576'57/121
第7929题的答案：	2236
第7930题的答案：	301665
第7931题的答案：	899'372/941
第7932题的答案：	55'25/44
第7933题的答案：	596'542/897
第7934题的答案：	-650
第7935题的答案：	1/6915
第7936题的答案：	780
第7937题的答案：	119
第7938题的答案：	37248
第7939题的答案：	708
第7940题的答案：	1578
第7941题的答案：	4/5
第7942题的答案：	330
第7943题的答案：	301196
第7944题的答案：	251'163/263
第7945题的答案：	4755
第7946题的答案：	993'266/463
第7947题的答案：	251767
第7948题的答案：	-1000
第7949题的答案：	771'87/221
第7950题的答案：	239'45/64
第7951题的答案：	-99449/211
第7952题的答案：	1652
第7953题的答案：	1574
第7954题的答案：	968'21/199
第7955题的答案：	171
第7956题的答案：	86420
第7957题的答案：	815'365/464
第7958题的答案：	-207682
第7959题的答案：	1039
第7960题的答案：	281/225680
第7961题的答案：	59/186
第7962题的答案：	192205
第7963题的答案：	434'105/109
第7964题的答案：	-87
第7965题的答案：	319
第7966题的答案：	-1029
第7967题的答案：	178'10/209
第7968题的答案：	875
第7969题的答案：	-114178/955
第7970题的答案：	390'94/285
第7971题的答案：	-301
第7972题的答案：	49/311
第7973题的答案：	588'57/64
第7974题的答案：	184418
第7975题的答案：	751'189/247
第7976题的答案：	13/17
第7977题的答案：	62167
第7978题的答案：	435
第7979题的答案：	123673
第7980题的答案：	592640
第7981题的答案：	790'26/101
第7982题的答案：	6925'47/109
第7983题的答案：	357
第7984题的答案：	68244
第7985题的答案：	3'34/159
第7986题的答案：	277'65/66
第7987题的答案：	-259
第7988题的答案：	1502
第7989题的答案：	62071632
第7990题的答案：	686'25/246
第7991题的答案：	442'333/412
第7992题的答案：	-80567
第7993题的答案：	177/119966
第7994题的答案：	209140
第7995题的答案：	382/433
第7996题的答案：	37/618
第7997题的答案：	152500
第7998题的答案：	651
第7999题的答案：	426'213/302
第8000题的答案：	844
第8001题的答案：	1101
第8002题的答案：	-71180/409
第8003题的答案：	501473
第8004题的答案：	121539160
第8005题的答案：	1093
第8006题的答案：	147
第8007题的答案：	-54
第8008题的答案：	-368
第8009题的答案：	192080
第8010题的答案：	-293885
第8011题的答案：	321292
第8012题的答案：	111477
第8013题的答案：	227/288
第8014题的答案：	224937
第8015题的答案：	-185648
第8016题的答案：	942
第8017题的答案：	-963
第8018题的答案：	473'86/93
第8019题的答案：	-39218/757
第8020题的答案：	-828
第8021题的答案：	518
第8022题的答案：	725
第8023题的答案：	399
第8024题的答案：	4145
第8025题的答案：	-389
第8026题的答案：	163'19/62
第8027题的答案：	513/628027
第8028题的答案：	464'139/648
第8029题的答案：	807
第8030题的答案：	70'289/335
第8031题的答案：	-293
第8032题的答案：	32893
第8033题的答案：	957'35/59
第8034题的答案：	861
第8035题的答案：	363132
第8036题的答案：	509'171/554
第8037题的答案：	1419
第8038题的答案：	939
第8039题的答案：	-651966
第8040题的答案：	625861
第8041题的答案：	79288
第8042题的答案：	799'47/118
第8043题的答案：	-270473/643
第8044题的答案：	12610
第8045题的答案：	1483
第8046题的答案：	835'580/801
第8047题的答案：	215
第8048题的答案：	3'83/255
第8049题的答案：	740
第8050题的答案：	535'25/189
第8051题的答案：	345/161197
第8052题的答案：	174040
第8053题的答案：	619'277/594
第8054题的答案：	710'124/701
第8055题的答案：	9/4769
第8056题的答案：	-400
第8057题的答案：	365'18/19
第8058题的答案：	285633504
第8059题的答案：	1105
第8060题的答案：	786
第8061题的答案：	470093
第8062题的答案：	607'28/57
第8063题的答案：	-90
第8064题的答案：	-407
第8065题的答案：	218678
第8066题的答案：	256772
第8067题的答案：	863/219520
第8068题的答案：	137998080
第8069题的答案：	701
第8070题的答案：	666'176/603
第8071题的答案：	-303840
第8072题的答案：	108
第8073题的答案：	528/769
第8074题的答案：	744
第8075题的答案：	-298
第8076题的答案：	405'154/661
第8077题的答案：	563'1/467
第8078题的答案：	927'5/18
第8079题的答案：	-793
第8080题的答案：	-153146
第8081题的答案：	396'49/885
第8082题的答案：	451/690
第8083题的答案：	622'35/43
第8084题的答案：	472'7/9
第8085题的答案：	118'158/315
第8086题的答案：	594322
第8087题的答案：	205
第8088题的答案：	610'31/57
第8089题的答案：	351'241/425
第8090题的答案：	-223185/481
第8091题的答案：	-8561/12
第8092题的答案：	1542
第8093题的答案：	1'123/158
第8094题的答案：	44436
第8095题的答案：	126615069
第8096题的答案：	-26617/321
第8097题的答案：	327
第8098题的答案：	1008
第8099题的答案：	-660
第8100题的答案：	7611
第8101题的答案：	-454737
第8102题的答案：	400'75/242
第8103题的答案：	276/757
第8104题的答案：	21515
第8105题的答案：	1588
第8106题的答案：	622'2/3
第8107题的答案：	21454635
第8108题的答案：	223768
第8109题的答案：	15'47/71
第8110题的答案：	145'9/16
第8111题的答案：	401'13/652
第8112题的答案：	11
第8113题的答案：	996
第8114题的答案：	395
第8115题的答案：	527
第8116题的答案：	47/100320
第8117题的答案：	630'39/233
第8118题的答案：	778430
第8119题的答案：	319129
第8120题的答案：	-494
第8121题的答案：	407
第8122题的答案：	734/881
第8123题的答案：	517398
第8124题的答案：	734
第8125题的答案：	1267
第8126题的答案：	631/723
第8127题的答案：	-184227/401
第8128题的答案：	75361
第8129题的答案：	2066
第8130题的答案：	189'31/114
第8131题的答案：	421509
第8132题的答案：	107'355/459
第8133题的答案：	27
第8134题的答案：	-14718
第8135题的答案：	53/15576
第8136题的答案：	1'154/251
第8137题的答案：	1030
第8138题的答案：	619
第8139题的答案：	15262
第8140题的答案：	-450381/628
第8141题的答案：	350
第8142题的答案：	1747
第8143题的答案：	-1085
第8144题的答案：	546'269/412
第8145题的答案：	479/19880
第8146题的答案：	868
第8147题的答案：	486'313/456
第8148题的答案：	-5018
第8149题的答案：	-872
第8150题的答案：	1285
第8151题的答案：	717633
第8152题的答案：	1244
第8153题的答案：	138'426/479
第8154题的答案：	571020000
第8155题的答案：	85296605
第8156题的答案：	686'238/995
第8157题的答案：	-209
第8158题的答案：	10208'1/3
第8159题的答案：	132/6923
第8160题的答案：	15/61418
第8161题的答案：	-610918
第8162题的答案：	992'62/143
第8163题的答案：	334162
第8164题的答案：	581/757
第8165题的答案：	484'22/27
第8166题的答案：	69073
第8167题的答案：	423'71/391
第8168题的答案：	169139
第8169题的答案：	738
第8170题的答案：	75/712
第8171题的答案：	5'798/905
第8172题的答案：	537'383/758
第8173题的答案：	757152
第8174题的答案：	1956
第8175题的答案：	121
第8176题的答案：	7922967
第8177题的答案：	292
第8178题的答案：	1272
第8179题的答案：	5/2303
第8180题的答案：	629
第8181题的答案：	1397
第8182题的答案：	580
第8183题的答案：	1659
第8184题的答案：	251129
第8185题的答案：	507244
第8186题的答案：	1145
第8187题的答案：	1'113/386
第8188题的答案：	910'658/857
第8189题的答案：	29/748
第8190题的答案：	166'427/964
第8191题的答案：	-368
第8192题的答案：	307
第8193题的答案：	371
第8194题的答案：	1584'433/463
第8195题的答案：	761/825
第8196题的答案：	398125
第8197题的答案：	13/5913
第8198题的答案：	808202
第8199题的答案：	5/476
第8200题的答案：	333'739/895
第8201题的答案：	721
第8202题的答案：	703
第8203题的答案：	69070320
第8204题的答案：	12'421/759
第8205题的答案：	485'70/103
第8206题的答案：	384/911
第8207题的答案：	234
第8208题的答案：	465068
第8209题的答案：	757615
第8210题的答案：	30400
第8211题的答案：	169'841/935
第8212题的答案：	1'135/187
第8213题的答案：	974
第8214题的答案：	1128
第8215题的答案：	4027'107/157
第8216题的答案：	77
第8217题的答案：	329085
第8218题的答案：	19/249
第8219题的答案：	42504
第8220题的答案：	197/32518
第8221题的答案：	1286
第8222题的答案：	763'186/695
第8223题的答案：	2029
第8224题的答案：	331000
第8225题的答案：	52
第8226题的答案：	308565
第8227题的答案：	1617
第8228题的答案：	512'359/731
第8229题的答案：	759'161/347
第8230题的答案：	1570
第8231题的答案：	4965030
第8232题的答案：	111564
第8233题的答案：	42025
第8234题的答案：	1266
第8235题的答案：	40318
第8236题的答案：	113/352473
第8237题的答案：	534372
第8238题的答案：	643414
第8239题的答案：	1922
第8240题的答案：	-333
第8241题的答案：	279'102/197
第8242题的答案：	1183
第8243题的答案：	1127
第8244题的答案：	527/634
第8245题的答案：	214318
第8246题的答案：	1047
第8247题的答案：	74690
第8248题的答案：	1232
第8249题的答案：	-25897/99
第8250题的答案：	938'419/479
第8251题的答案：	-234
第8252题的答案：	829/7874
第8253题的答案：	23354
第8254题的答案：	7/8
第8255题的答案：	-84107
第8256题的答案：	-175
第8257题的答案：	298144
第8258题的答案：	932
第8259题的答案：	159
第8260题的答案：	282228
第8261题的答案：	38715440
第8262题的答案：	-124119
第8263题的答案：	450'82/155
第8264题的答案：	1393
第8265题的答案：	688/971
第8266题的答案：	278'37/42
第8267题的答案：	1047
第8268题的答案：	132
第8269题的答案：	82'46/421
第8270题的答案：	37/208320
第8271题的答案：	924
第8272题的答案：	-753
第8273题的答案：	850
第8274题的答案：	230988
第8275题的答案：	1903
第8276题的答案：	-1183
第8277题的答案：	639
第8278题的答案：	754'24/173
第8279题的答案：	545
第8280题的答案：	-192
第8281题的答案：	1110'50/81
第8282题的答案：	555778
第8283题的答案：	300
第8284题的答案：	-824706/839
第8285题的答案：	509'125/183
第8286题的答案：	71036
第8287题的答案：	242'18/157
第8288题的答案：	75264
第8289题的答案：	-32037/61
第8290题的答案：	226/38157
第8291题的答案：	231/488
第8292题的答案：	-584974
第8293题的答案：	904'2/3
第8294题的答案：	1/4680
第8295题的答案：	38209
第8296题的答案：	15687
第8297题的答案：	852'599/642
第8298题的答案：	974
第8299题的答案：	346969
第8300题的答案：	47380
第8301题的答案：	-22
第8302题的答案：	332'3/41
第8303题的答案：	139'9/16
第8304题的答案：	722'50/189
第8305题的答案：	485
第8306题的答案：	696080
第8307题的答案：	203403
第8308题的答案：	509/836
第8309题的答案：	1607
第8310题的答案：	995'5/609
第8311题的答案：	704
第8312题的答案：	1124
第8313题的答案：	478'121/816
第8314题的答案：	1208
第8315题的答案：	299699
第8316题的答案：	-150
第8317题的答案：	777'23/821
第8318题的答案：	562
第8319题的答案：	663'16/23
第8320题的答案：	100572
第8321题的答案：	-1235
第8322题的答案：	844
第8323题的答案：	591930
第8324题的答案：	282179
第8325题的答案：	705'155/219
第8326题的答案：	882
第8327题的答案：	205'63/281
第8328题的答案：	-259331
第8329题的答案：	502
第8330题的答案：	-19
第8331题的答案：	589'412/461
第8332题的答案：	-214635/238
第8333题的答案：	72'9/25
第8334题的答案：	7850628
第8335题的答案：	838'47/53
第8336题的答案：	1402
第8337题的答案：	1157'31/58
第8338题的答案：	31'97/481
第8339题的答案：	897'92/641
第8340题的答案：	-145305/599
第8341题的答案：	354668
第8342题的答案：	-24
第8343题的答案：	210702
第8344题的答案：	435/539
第8345题的答案：	-54
第8346题的答案：	232709
第8347题的答案：	-320153
第8348题的答案：	817020
第8349题的答案：	823'401/429
第8350题的答案：	441
第8351题的答案：	432'416/661
第8352题的答案：	313'419/667
第8353题的答案：	460
第8354题的答案：	672
第8355题的答案：	1/1875
第8356题的答案：	520523
第8357题的答案：	81'131/744
第8358题的答案：	258/68941
第8359题的答案：	13'11/29
第8360题的答案：	282295
第8361题的答案：	934'21/155
第8362题的答案：	351714
第8363题的答案：	424'275/303
第8364题的答案：	652'2/3
第8365题的答案：	1210
第8366题的答案：	969'1/120
第8367题的答案：	73584
第8368题的答案：	215501
第8369题的答案：	558688
第8370题的答案：	4493
第8371题的答案：	235
第8372题的答案：	-77429/81
第8373题的答案：	182118
第8374题的答案：	121
第8375题的答案：	576
第8376题的答案：	475480
第8377题的答案：	71589
第8378题的答案：	1905'27/37
第8379题的答案：	-28363/94
第8380题的答案：	4
第8381题的答案：	204'589/802
第8382题的答案：	-844
第8383题的答案：	337'739/900
第8384题的答案：	1488
第8385题的答案：	733
第8386题的答案：	1213
第8387题的答案：	149'29/101
第8388题的答案：	4170780
第8389题的答案：	50820
第8390题的答案：	588
第8391题的答案：	2'209/291
第8392题的答案：	1848
第8393题的答案：	699104
第8394题的答案：	307'229/581
第8395题的答案：	-1149
第8396题的答案：	964
第8397题的答案：	69
第8398题的答案：	309
第8399题的答案：	82213038
第8400题的答案：	-360127/460
第8401题的答案：	113'5/27
第8402题的答案：	1238
第8403题的答案：	476'215/612
第8404题的答案：	251
第8405题的答案：	455'395/437
第8406题的答案：	-734591/931
第8407题的答案：	339'587/722
第8408题的答案：	305'259/279
第8409题的答案：	-309
第8410题的答案：	4279155
第8411题的答案：	281
第8412题的答案：	-53
第8413题的答案：	1482
第8414题的答案：	1086
第8415题的答案：	12454155
第8416题的答案：	-1356
第8417题的答案：	1109
第8418题的答案：	-1682
第8419题的答案：	3358'1/29
第8420题的答案：	-149
第8421题的答案：	554
第8422题的答案：	-490
第8423题的答案：	436
第8424题的答案：	-1191
第8425题的答案：	779220
第8426题的答案：	211'33/65
第8427题的答案：	1'128/553
第8428题的答案：	165778
第8429题的答案：	-424
第8430题的答案：	-1113
第8431题的答案：	-1229/2
第8432题的答案：	62/46875
第8433题的答案：	-4253/234
第8434题的答案：	41/103675
第8435题的答案：	-475
第8436题的答案：	490538
第8437题的答案：	453
第8438题的答案：	1206
第8439题的答案：	81'31/904
第8440题的答案：	-15
第8441题的答案：	742260
第8442题的答案：	216'27/34
第8443题的答案：	722'302/761
第8444题的答案：	32685
第8445题的答案：	133'160/443
第8446题的答案：	-926134
第8447题的答案：	-156020
第8448题的答案：	308136
第8449题的答案：	284859
第8450题的答案：	1818
第8451题的答案：	1011
第8452题的答案：	518
第8453题的答案：	5027
第8454题的答案：	26844144
第8455题的答案：	828
第8456题的答案：	-902276/945
第8457题的答案：	847
第8458题的答案：	114
第8459题的答案：	-11
第8460题的答案：	25/154
第8461题的答案：	-844
第8462题的答案：	1'101/137
第8463题的答案：	2334
第8464题的答案：	-29709/125
第8465题的答案：	753'207/869
第8466题的答案：	464'2/3
第8467题的答案：	124046
第8468题的答案：	81
第8469题的答案：	-358511
第8470题的答案：	1095
第8471题的答案：	1'159/451
第8472题的答案：	232288
第8473题的答案：	5257110
第8474题的答案：	697
第8475题的答案：	321/415
第8476题的答案：	-27043/43
第8477题的答案：	145'85/259
第8478题的答案：	-226860
第8479题的答案：	796
第8480题的答案：	130/801
第8481题的答案：	1'342/595
第8482题的答案：	131'101/211
第8483题的答案：	882'889/937
第8484题的答案：	358'386/489
第8485题的答案：	424
第8486题的答案：	263438
第8487题的答案：	271'90/133
第8488题的答案：	314'219/641
第8489题的答案：	105'5/6
第8490题的答案：	875'172/269
第8491题的答案：	-25467/167
第8492题的答案：	951
第8493题的答案：	-751
第8494题的答案：	587'11/40
第8495题的答案：	1680
第8496题的答案：	2038
第8497题的答案：	21636720
第8498题的答案：	126589
第8499题的答案：	2'11/344
第8500题的答案：	-1319
第8501题的答案：	847
第8502题的答案：	97'14/17
第8503题的答案：	-363
第8504题的答案：	822
第8505题的答案：	37386
第8506题的答案：	1133
第8507题的答案：	317/281352
第8508题的答案：	459'290/307
第8509题的答案：	124
第8510题的答案：	-16126/947
第8511题的答案：	54'75/97
第8512题的答案：	934'25/32
第8513题的答案：	1040'19/151
第8514题的答案：	1'253/395
第8515题的答案：	1228
第8516题的答案：	-307
第8517题的答案：	-101
第8518题的答案：	1'207/751
第8519题的答案：	534'18/163
第8520题的答案：	1289
第8521题的答案：	1140
第8522题的答案：	133/7520
第8523题的答案：	-35969/128
第8524题的答案：	2003
第8525题的答案：	-32663
第8526题的答案：	1522
第8527题的答案：	-65460/229
第8528题的答案：	230'430/463
第8529题的答案：	52/125291
第8530题的答案：	31/761
第8531题的答案：	1701
第8532题的答案：	712'5/22
第8533题的答案：	499'166/299
第8534题的答案：	-238247
第8535题的答案：	1'51/932
第8536题的答案：	1316
第8537题的答案：	424'11/60
第8538题的答案：	1'173/768
第8539题的答案：	458541
第8540题的答案：	613'25/97
第8541题的答案：	311191500
第8542题的答案：	389'5/199
第8543题的答案：	462201
第8544题的答案：	10016
第8545题的答案：	354/14705
第8546题的答案：	1591
第8547题的答案：	431551
第8548题的答案：	306
第8549题的答案：	65146
第8550题的答案：	-955
第8551题的答案：	35915
第8552题的答案：	442464
第8553题的答案：	1368
第8554题的答案：	52746
第8555题的答案：	621502
第8556题的答案：	186601
第8557题的答案：	229530444
第8558题的答案：	-660141/737
第8559题的答案：	142808940
第8560题的答案：	303
第8561题的答案：	476001
第8562题的答案：	27728
第8563题的答案：	403
第8564题的答案：	316
第8565题的答案：	-715
第8566题的答案：	-385326/667
第8567题的答案：	-729
第8568题的答案：	516600
第8569题的答案：	469214
第8570题的答案：	1253
第8571题的答案：	1'55/104
第8572题的答案：	631'39/265
第8573题的答案：	596'12/445
第8574题的答案：	42924
第8575题的答案：	21816
第8576题的答案：	101568
第8577题的答案：	-712618
第8578题的答案：	1788
第8579题的答案：	-139213/810
第8580题的答案：	401'119/129
第8581题的答案：	17'4/29
第8582题的答案：	-108548
第8583题的答案：	185
第8584题的答案：	521
第8585题的答案：	837
第8586题的答案：	-137
第8587题的答案：	815'22/39
第8588题的答案：	1'286/623
第8589题的答案：	593'25/257
第8590题的答案：	-678104
第8591题的答案：	517/604
第8592题的答案：	20714
第8593题的答案：	265328000
第8594题的答案：	51/79
第8595题的答案：	427/899
第8596题的答案：	656'224/407
第8597题的答案：	134
第8598题的答案：	-125
第8599题的答案：	488'695/772
第8600题的答案：	4'158/207
第8601题的答案：	-11228
第8602题的答案：	876'21/50
第8603题的答案：	1155
第8604题的答案：	250/857
第8605题的答案：	158801544
第8606题的答案：	442882
第8607题的答案：	-145
第8608题的答案：	974
第8609题的答案：	698226
第8610题的答案：	1543'3/74
第8611题的答案：	678'5/48
第8612题的答案：	33716
第8613题的答案：	-45325/297
第8614题的答案：	306/62035
第8615题的答案：	1821
第8616题的答案：	371
第8617题的答案：	50
第8618题的答案：	264
第8619题的答案：	826'65/231
第8620题的答案：	117/121
第8621题的答案：	293222
第8622题的答案：	-97625
第8623题的答案：	127
第8624题的答案：	441
第8625题的答案：	434
第8626题的答案：	695'25/29
第8627题的答案：	930'341/392
第8628题的答案：	1456
第8629题的答案：	1338
第8630题的答案：	-573
第8631题的答案：	1459
第8632题的答案：	-268
第8633题的答案：	186764
第8634题的答案：	721
第8635题的答案：	554
第8636题的答案：	81/122255
第8637题的答案：	2'9/32
第8638题的答案：	881
第8639题的答案：	319517
第8640题的答案：	318535
第8641题的答案：	733/127872
第8642题的答案：	619406
